timestamp;experiment_name;top_k;total_questions;weighted_hits;recall_rate_percent
2026-03-13 12:04:27;mE5_baseline_dense;5;3;2.50;83.33
2026-03-13 12:04:27;mE5_baseline_dense;5;6;4.83;80.56
2026-03-13 12:04:27;mE5_baseline_dense;5;9;6.33;70.37
2026-03-13 12:04:27;mE5_baseline_dense;5;12;7.83;65.28
2026-03-13 12:04:27;mE5_baseline_dense;5;15;9.08;60.56
2026-03-13 12:04:27;mE5_baseline_dense;5;18;10.83;60.19
2026-03-13 12:04:27;mE5_baseline_dense;5;21;13.17;62.70
2026-03-13 12:04:27;mE5_baseline_dense;5;24;14.03;58.47
2026-03-13 12:04:27;mE5_baseline_dense;5;27;15.03;55.68
2026-03-13 12:04:27;mE5_baseline_dense;5;30;17.03;56.78
