timestamp;experiment_name;top_k;window_size;total_questions;weighted_hits;recall_rate_percent;avg_coverage_pct;avg_call1_cov;avg_call2_cov;avg_total_cov;weighted_total_cov;avg_mrr;avg_precision_at_k;recall_plain_percent
2026-04-16 12:48:34;mE5base_200_top2_w0;2;0;60;14.6;24.33;7.8;14.8;8.1;20.8;15.7;0.1852;0.108;24.10
2026-04-16 12:48:45;mE5base_200_top2_w1;2;1;60;24.63;41.06;19.4;34.5;17.9;44.3;35.9;0.3148;0.1655;42.05
2026-04-16 12:48:55;mE5base_200_top3_w0;3;0;60;20.68;34.47;10.1;18.3;10.9;25.1;19.3;0.2269;0.1218;34.36
2026-04-16 12:49:06;mE5base_200_top3_w1;3;1;60;31.25;52.08;24.6;41.9;23.6;50.6;41.9;0.3469;0.1606;53.85
2026-04-16 12:49:15;mE5base_200_top4_w0;4;0;60;25.02;41.69;13.1;21.9;14.0;29.9;23.1;0.2369;0.1142;41.03
2026-04-16 12:49:26;mE5base_200_top4_w1;4;1;60;33.88;56.47;28.8;46.3;27.7;55.0;46.0;0.3341;0.1393;57.95
2026-04-16 12:49:36;mE5base_200_top5_w0;5;0;60;27.73;46.22;15.6;25.7;16.6;34.0;26.3;0.2409;0.1156;46.15
2026-04-16 12:49:46;mE5base_200_top5_w1;5;1;60;36.93;61.56;33.0;51.4;32.4;59.7;50.1;0.3215;0.1334;63.59
2026-04-16 12:49:56;mE5base_200_top6_w0;6;0;60;29.4;49.0;18.1;29.6;19.1;37.4;28.8;0.2495;0.1067;49.23
2026-04-16 12:50:07;mE5base_200_top6_w1;6;1;60;38.93;64.89;36.5;55.1;36.3;63.2;53.1;0.3202;0.1218;67.18
2026-04-16 12:50:17;mE5base_200_top7_w0;7;0;60;30.55;50.92;20.3;33.4;21.1;41.4;31.9;0.2487;0.0995;51.79
2026-04-16 12:50:26;mE5base_200_top7_w1;7;1;60;41.63;69.39;39.7;58.9;39.6;66.4;56.1;0.3271;0.1156;70.26
2026-04-16 12:50:36;mE5base_200_top8_w0;8;0;60;34.78;57.97;22.2;36.4;22.9;44.4;34.1;0.2621;0.1009;56.41
2026-04-16 12:50:46;mE5base_200_top8_w1;8;1;60;44.33;73.89;42.3;62.0;42.4;69.9;59.3;0.3418;0.11;72.82
2026-04-16 12:50:55;mE5base_380_top2_w0;2;0;60;22.37;37.28;10.7;19.6;10.7;26.7;20.6;0.2896;0.1906;38.46
2026-04-16 12:51:04;mE5base_380_top2_w1;2;1;60;37.93;63.22;27.6;46.4;26.0;54.8;46.5;0.5292;0.2803;65.13
2026-04-16 12:51:13;mE5base_380_top3_w0;3;0;60;26.57;44.28;14.9;26.8;15.6;35.0;26.4;0.3028;0.1628;45.13
2026-04-16 12:51:23;mE5base_380_top3_w1;3;1;60;41.22;68.69;34.9;55.4;35.2;64.8;55.7;0.4964;0.2254;68.72
2026-04-16 12:51:32;mE5base_380_top4_w0;4;0;60;31.83;53.06;19.8;32.6;20.5;40.5;31.3;0.3044;0.1445;53.33
2026-04-16 12:51:41;mE5base_380_top4_w1;4;1;60;43.78;72.97;41.6;62.4;40.7;70.3;61.5;0.4902;0.1823;72.82
2026-04-16 12:51:51;mE5base_380_top5_w0;5;0;60;35.05;58.42;23.8;38.1;24.5;46.3;35.7;0.3129;0.1433;59.49
2026-04-16 12:52:01;mE5base_380_top5_w1;5;1;60;47.82;79.69;47.4;67.6;46.3;76.0;66.5;0.4771;0.1693;80.00
2026-04-16 12:52:10;mE5base_380_top6_w0;6;0;60;37.88;63.14;27.3;42.1;28.4;50.4;39.4;0.3198;0.1349;63.59
2026-04-16 12:52:19;mE5base_380_top6_w1;6;1;60;49.65;82.75;52.1;70.5;52.4;78.5;69.2;0.4822;0.1506;82.56
2026-04-16 12:52:28;mE5base_380_top7_w0;7;0;60;42.12;70.19;30.6;46.6;31.2;54.1;42.8;0.3326;0.1335;69.74
2026-04-16 12:52:38;mE5base_380_top7_w1;7;1;60;50.68;84.47;55.4;73.5;55.3;80.8;71.9;0.4729;0.1384;84.62
2026-04-16 12:52:47;mE5base_380_top8_w0;8;0;60;42.65;71.08;33.7;50.5;34.5;57.1;45.9;0.3357;0.1237;70.77
2026-04-16 12:52:57;mE5base_380_top8_w1;8;1;60;51.92;86.53;59.1;77.2;58.9;83.5;74.9;0.4684;0.13;86.67
2026-04-16 12:53:09;openai3s_200_top2_w0;2;0;60;7.3;12.17;5.1;9.8;4.5;12.7;9.4;0.1259;0.0563;12.82
2026-04-16 12:53:18;openai3s_200_top2_w1;2;1;60;13.22;22.03;12.6;24.2;11.0;29.1;22.8;0.1884;0.085;23.08
2026-04-16 12:53:28;openai3s_200_top3_w0;3;0;60;8.35;13.92;6.6;12.1;6.5;15.9;11.6;0.1307;0.0523;15.38
2026-04-16 12:53:38;openai3s_200_top3_w1;3;1;60;14.45;24.08;15.7;27.9;15.2;34.1;26.4;0.1888;0.075;25.64
2026-04-16 12:53:48;openai3s_200_top4_w0;4;0;60;10.67;17.78;8.2;14.8;8.1;19.0;13.9;0.1384;0.0532;18.97
2026-04-16 12:53:58;openai3s_200_top4_w1;4;1;60;17.77;29.61;19.1;33.0;18.2;38.8;30.4;0.1952;0.0732;31.28
2026-04-16 12:54:08;openai3s_200_top5_w0;5;0;60;16.32;27.19;9.7;17.5;9.7;22.1;15.9;0.1586;0.0638;25.64
2026-04-16 12:54:18;openai3s_200_top5_w1;5;1;60;22.8;38.0;22.2;36.8;21.5;42.7;33.7;0.2149;0.0785;36.92
2026-04-16 12:54:29;openai3s_200_top6_w0;6;0;60;17.43;29.06;10.9;19.4;10.9;24.2;17.6;0.1608;0.0611;27.69
2026-04-16 12:54:39;openai3s_200_top6_w1;6;1;60;25.42;42.36;24.6;39.3;24.2;45.7;36.4;0.2235;0.0786;41.03
2026-04-16 12:54:49;openai3s_200_top7_w0;7;0;60;18.18;30.31;12.2;21.1;12.4;25.9;19.0;0.1542;0.058;29.23
2026-04-16 12:54:59;openai3s_200_top7_w1;7;1;60;25.92;43.19;26.7;42.0;26.6;48.2;38.8;0.2147;0.0712;42.05
2026-04-16 12:55:08;openai3s_200_top8_w0;8;0;60;19.68;32.81;13.4;23.0;13.4;28.0;20.7;0.158;0.0566;31.79
2026-04-16 12:55:18;openai3s_200_top8_w1;8;1;60;26.92;44.86;28.8;44.8;28.5;50.9;41.2;0.2172;0.0665;43.59
2026-04-16 12:55:25;openai3s_500_top2_w0;2;0;60;15.55;25.92;9.2;16.9;9.4;21.5;17.4;0.2454;0.1254;28.72
2026-04-16 12:55:31;openai3s_500_top2_w1;2;1;60;29.52;49.19;24.3;40.4;23.6;46.6;39.4;0.419;0.2201;50.26
2026-04-16 12:55:37;openai3s_500_top3_w0;3;0;60;21.17;35.28;13.2;22.6;14.1;28.3;22.2;0.255;0.1194;38.46
2026-04-16 12:55:43;openai3s_500_top3_w1;3;1;60;35.72;59.53;30.5;47.6;29.7;54.1;45.6;0.4331;0.1899;60.51
2026-04-16 12:55:49;openai3s_500_top4_w0;4;0;60;26.58;44.31;16.6;27.3;17.8;32.6;25.6;0.2647;0.13;47.18
2026-04-16 12:55:56;openai3s_500_top4_w1;4;1;60;40.48;67.47;35.3;52.9;35.2;60.0;50.4;0.4063;0.1705;67.69
2026-04-16 12:56:02;openai3s_500_top5_w0;5;0;60;30.15;50.25;19.3;30.7;20.6;37.4;29.5;0.2856;0.1236;51.28
2026-04-16 12:56:09;openai3s_500_top5_w1;5;1;60;41.97;69.94;39.2;57.7;39.2;65.1;54.6;0.3902;0.1498;70.26
2026-04-16 12:56:15;openai3s_500_top6_w0;6;0;60;31.68;52.81;21.8;34.9;23.2;41.6;32.7;0.2932;0.1139;53.85
2026-04-16 12:56:21;openai3s_500_top6_w1;6;1;60;42.5;70.83;43.5;62.5;43.6;69.1;58.6;0.3856;0.1335;71.28
2026-04-16 12:56:28;openai3s_500_top7_w0;7;0;60;34.42;57.36;24.6;37.3;25.7;44.7;35.3;0.2892;0.1116;58.46
2026-04-16 12:56:34;openai3s_500_top7_w1;7;1;60;45.52;75.86;47.4;64.9;48.0;72.1;61.4;0.3825;0.1271;76.92
2026-04-16 12:56:41;openai3s_500_top8_w0;8;0;60;36.15;60.25;27.5;40.4;28.8;47.3;37.5;0.2752;0.1043;62.05
2026-04-16 12:56:47;openai3s_500_top8_w1;8;1;60;46.85;78.08;51.2;67.9;51.6;73.9;63.5;0.3874;0.1165;78.97
2026-04-16 12:56:53;openai3s_para_top2_w0;2;0;60;25.3;42.17;17.4;26.8;18.5;34.5;27.9;0.3297;0.1757;43.08
2026-04-16 12:56:58;openai3s_para_top3_w0;3;0;60;30.92;51.53;23.4;35.3;26.1;43.5;36.4;0.36;0.1677;54.36
2026-04-16 12:57:03;openai3s_para_top4_w0;4;0;60;39.63;66.06;29.9;42.9;30.2;48.9;41.6;0.3721;0.1747;67.18
2026-04-16 12:57:09;openai3s_para_top5_w0;5;0;60;43.95;73.25;36.7;47.2;38.7;54.5;46.9;0.3625;0.1645;73.33
2026-04-16 12:57:14;openai3s_para_top6_w0;6;0;60;44.53;74.22;40.6;54.3;40.7;60.2;52.7;0.3455;0.1448;74.36
2026-04-16 12:57:20;openai3s_para_top7_w0;7;0;60;47.23;78.72;44.4;58.5;45.5;63.7;56.1;0.3495;0.143;78.97
2026-04-16 12:57:26;openai3s_para_top10_w0;10;0;60;51.73;86.22;54.9;69.7;55.4;74.0;65.9;0.3535;0.1199;86.67
2026-04-16 12:57:29;bm25_para_top2_w0;2;0;60;36.13;60.22;24.9;36.1;26.9;49.0;42.0;0.5835;0.2803;61.03
2026-04-16 12:57:31;bm25_para_top3_w0;3;0;60;38.95;64.92;31.7;43.8;36.2;55.5;49.5;0.5591;0.2236;65.64
2026-04-16 12:57:34;bm25_para_top4_w0;4;0;60;43.93;73.22;38.7;51.0;43.6;63.1;56.5;0.5877;0.1962;74.36
2026-04-16 12:57:36;bm25_para_top5_w0;5;0;60;46.35;77.25;45.2;58.2;49.9;69.0;62.8;0.5654;0.173;77.44
2026-04-16 12:57:39;bm25_para_top6_w0;6;0;60;47.1;78.5;49.6;62.5;54.5;73.6;67.0;0.5637;0.1501;78.46
2026-04-16 12:57:42;bm25_para_top7_w0;7;0;60;50.93;84.89;55.0;68.0;59.4;78.2;71.8;0.5446;0.1415;84.10
2026-04-16 12:57:46;bm25_para_top10_w0;10;0;60;54.27;90.44;65.5;76.7;70.2;86.8;81.1;0.5254;0.1121;90.26
2026-04-16 12:57:52;hybrid_para_top2_w0;2;0;60;31.27;52.11;21.9;35.7;22.2;42.6;35.9;0.5061;0.2554;53.33
2026-04-16 12:57:58;hybrid_para_top3_w0;3;0;60;40.88;68.14;30.7;43.5;33.7;53.9;46.0;0.4953;0.2355;67.69
2026-04-16 12:58:04;hybrid_para_top4_w0;4;0;60;44.88;74.81;35.7;48.5;38.1;59.7;51.6;0.5403;0.2095;75.38
2026-04-16 12:58:10;hybrid_para_top5_w0;5;0;60;48.38;80.64;41.3;53.5;44.5;63.8;56.3;0.5279;0.1943;81.03
2026-04-16 12:58:16;hybrid_para_top6_w0;6;0;60;50.6;84.33;45.8;57.5;50.2;67.4;60.3;0.5325;0.177;85.64
2026-04-16 12:58:22;hybrid_para_top7_w0;7;0;60;52.02;86.69;50.2;62.0;53.9;71.6;64.4;0.5243;0.1558;88.21
2026-04-16 12:58:29;hybrid_para_top10_w0;10;0;60;55.05;91.75;61.1;71.9;63.8;79.2;72.1;0.5475;0.1205;92.82
2026-04-16 12:58:35;hybrid_para_k20_top2_w0;2;0;60;31.23;52.06;22.5;36.2;21.9;43.4;36.5;0.5028;0.2498;52.82
2026-04-16 12:58:42;hybrid_para_k20_top3_w0;3;0;60;40.88;68.14;30.3;43.1;32.7;52.7;44.6;0.4975;0.2363;67.69
2026-04-16 12:58:48;hybrid_para_k20_top4_w0;4;0;60;44.68;74.47;35.5;47.8;38.0;59.4;51.2;0.5239;0.2084;74.87
2026-04-16 12:58:54;hybrid_para_k20_top5_w0;5;0;60;49.38;82.31;41.4;53.7;44.5;64.0;55.9;0.5261;0.1955;82.56
2026-04-16 12:59:02;hybrid_para_k20_top6_w0;6;0;60;51.6;86.0;45.4;56.9;49.8;67.5;60.2;0.5317;0.1794;87.18
2026-04-16 12:59:08;hybrid_para_k20_top7_w0;7;0;60;53.02;88.36;50.3;62.2;53.9;72.5;65.0;0.5235;0.1573;89.74
2026-04-16 12:59:14;hybrid_para_k20_top10_w0;10;0;60;55.05;91.75;60.9;72.2;63.5;79.5;72.3;0.5262;0.1209;92.82
2026-04-16 12:59:20;hybrid_weighted_a7_top2_w0;2;0;60;29.22;48.69;20.6;31.8;21.1;38.7;31.9;0.4264;0.2283;49.74
2026-04-16 12:59:26;hybrid_weighted_a7_top3_w0;3;0;60;38.88;64.81;28.4;43.4;29.8;51.1;43.2;0.4479;0.226;66.15
2026-04-16 12:59:32;hybrid_weighted_a7_top4_w0;4;0;60;45.92;76.53;34.9;48.7;36.0;58.0;50.4;0.4512;0.2168;77.44
