filename,rel_path,case_id,court,date,eda_label,est_tokens
KS_Banská_Bystrica_35Cbi_59_2006_00_dokument.pdf,data/01_raw_pdfs/35Cbi_59_2006/KS_Banská_Bystrica_35Cbi_59_2006_00_dokument.pdf,35Cbi/59/2006,KS Banská Bystrica,2012-06-04,1_GOLD_MODERATION,5879
KS_Bratislava_4CoZm_2_2018_00_dokument.pdf,data/01_raw_pdfs/4CoZm_2_2018/KS_Bratislava_4CoZm_2_2018_00_dokument.pdf,B5-1CbZm/453/2014,KS Bratislava,2018-11-29,1_GOLD_MODERATION,11117
KS_Trnava_31Cob_64_2011_00_dokument.pdf,data/01_raw_pdfs/31Cob_64_2011/KS_Trnava_31Cob_64_2011_00_dokument.pdf,31Cob/64/2011,KS Trnava,2011-12-20,1_GOLD_MODERATION,2865
KS_Trnava_21Cob_41_2011_00_dokument.pdf,data/01_raw_pdfs/21Cob_41_2011/KS_Trnava_21Cob_41_2011_00_dokument.pdf,PN-10Cb/39/2009,KS Trnava,2011-10-25,1_GOLD_MODERATION,4041
KS_Nitra_15Cob_70_2022_00_dokument.pdf,data/01_raw_pdfs/15Cob_70_2022/KS_Nitra_15Cob_70_2022_00_dokument.pdf,15Cob/70/2022,KS Nitra,2023-07-25,1_GOLD_MODERATION,8805
KS_Žilina_13Cob_7_2017_00_dokument.pdf,data/01_raw_pdfs/13Cob_7_2017/KS_Žilina_13Cob_7_2017_00_dokument.pdf,13Cob/7/2017,KS Žilina,2017-06-28,1_GOLD_MODERATION,9626
KS_Prešov_1Cob_20_2012_00_dokument.pdf,data/01_raw_pdfs/1Cob_20_2012/KS_Prešov_1Cob_20_2012_00_dokument.pdf,1Cob/20/2012,KS Prešov,2013-01-30,1_GOLD_MODERATION,6814
KS_Bratislava_1Cob_117_2020_00_dokument.pdf,data/01_raw_pdfs/1Cob_117_2020/KS_Bratislava_1Cob_117_2020_00_dokument.pdf,B1-33Cb/152/2008,KS Bratislava,2023-01-26,3_PENALTY_NO_MODERATION,12670
KS_Nitra_26Cob_39_2012_00_dokument.pdf,data/01_raw_pdfs/26Cob_39_2012/KS_Nitra_26Cob_39_2012_00_dokument.pdf,26Cob/39/2012,KS Nitra,2012-06-14,4_CIVIL_NOISE_LIKELY,5996
KS_Bratislava_1Cob_298_2015_00_dokument.pdf,data/01_raw_pdfs/1Cob_298_2015/KS_Bratislava_1Cob_298_2015_00_dokument.pdf,B2-22Cb/100/2011,KS Bratislava,2017-02-02,1_GOLD_MODERATION,3081
NS_SR_4Obdo_96_2021_00_dokument.pdf,data/01_raw_pdfs/4Obdo_96_2021/NS_SR_4Obdo_96_2021_00_dokument.pdf,4Obdo/96/2021,NS SR,2022-09-30,1_GOLD_MODERATION,9596
KS_Banská_Bystrica_43Cob_53_2023_00_dokument.pdf,data/01_raw_pdfs/43Cob_53_2023/KS_Banská_Bystrica_43Cob_53_2023_00_dokument.pdf,43Cob/53/2023,KS Banská Bystrica,2023-08-07,1_GOLD_MODERATION,10428
KS_Košice_2Cob_35_2015_00_dokument.pdf,data/01_raw_pdfs/2Cob_35_2015/KS_Košice_2Cob_35_2015_00_dokument.pdf,2Cob/35/2015,KS Košice,2015-10-20,1_GOLD_MODERATION,5961
KS_Bratislava_1CoZm_36_2016_00_dokument.pdf,data/01_raw_pdfs/1CoZm_36_2016/KS_Bratislava_1CoZm_36_2016_00_dokument.pdf,B5-1CbZm/794/2015,KS Bratislava,2016-11-24,1_GOLD_MODERATION,10628
KS_Trenčín_8Cob_82_2011_00_dokument.pdf,data/01_raw_pdfs/8Cob_82_2011/KS_Trenčín_8Cob_82_2011_00_dokument.pdf,BN-5Cb/26/2010,KS Trenčín,2012-02-29,1_GOLD_MODERATION,2282
KS_Košice_4Cob_149_2022_00_dokument.pdf,data/01_raw_pdfs/4Cob_149_2022/KS_Košice_4Cob_149_2022_00_dokument.pdf,4Cob/149/2022,KS Košice,2023-01-25,1_GOLD_MODERATION,9890
KS_Žilina_14Cob_132_2019_00_dokument.pdf,data/01_raw_pdfs/14Cob_132_2019/KS_Žilina_14Cob_132_2019_00_dokument.pdf,14Cob/132/2019,KS Žilina,2019-10-24,1_GOLD_MODERATION,11064
