filename,rel_path,court,case_id,date,type,eda_label,court_tier,has_penalty,has_301,has_moder_trig,has_invalidity,has_percent,has_money,has_interest,page_count,char_count,est_tokens,MAN_is_trade_meta,MAN_really_301,MAN_reasonableness_discussed,MAN_outcome
KS_Košice_4Cob_77_2017_00_dokument.pdf,data/01_raw_pdfs/4Cob_77_2017/KS_Košice_4Cob_77_2017_00_dokument.pdf,KS Košice,4Cob/77/2017,2017-08-09,Uznesenie,1_GOLD_MODERATION,KS,3,1,9,0,6,15,13,4,13838,3459,,,,
KS_Prešov_3Cob_53_2011_00_dokument.pdf,data/01_raw_pdfs/3Cob_53_2011/KS_Prešov_3Cob_53_2011_00_dokument.pdf,KS Prešov,3Cob/53/2011,2011-11-29,Rozsudok,3_PENALTY_NO_MODERATION,KS,26,0,16,3,17,34,39,4,13683,3420,,,,
KS_Bratislava_1Cob_117_2020_00_dokument.pdf,data/01_raw_pdfs/1Cob_117_2020/KS_Bratislava_1Cob_117_2020_00_dokument.pdf,KS Bratislava,B1-33Cb/152/2008,2023-01-26,Rozsudok,3_PENALTY_NO_MODERATION,KS,22,0,9,29,4,14,0,11,50681,12670,,,,
KS_Žilina_14Cob_109_2017_00_dokument.pdf,data/01_raw_pdfs/14Cob_109_2017/KS_Žilina_14Cob_109_2017_00_dokument.pdf,KS Žilina,14Cob/109/2017,2018-10-11,Rozsudok,1_GOLD_MODERATION,KS,166,21,117,1,42,47,108,22,110690,27672,,,,
KS_Bratislava_4Cob_216_2015_00_dokument.pdf,data/01_raw_pdfs/4Cob_216_2015/KS_Bratislava_4Cob_216_2015_00_dokument.pdf,KS Bratislava,4Cob/216/2015,2016-11-03,Rozsudok,3_PENALTY_NO_MODERATION,KS,51,0,20,2,17,37,25,6,24208,6052,,,,
KS_Banská_Bystrica_41Cob_31_2022_00_dokument.pdf,data/01_raw_pdfs/41Cob_31_2022/KS_Banská_Bystrica_41Cob_31_2022_00_dokument.pdf,KS Banská Bystrica,BR-2Cb/8/2020,2022-10-19,Rozsudok,1_GOLD_MODERATION,KS,100,3,29,1,11,31,15,14,62168,15542,,,,
KS_Nitra_26Cob_54_2019_00_dokument.pdf,data/01_raw_pdfs/26Cob_54_2019/KS_Nitra_26Cob_54_2019_00_dokument.pdf,KS Nitra,26Cob/54/2019,2019-12-05,Rozsudok,4_CIVIL_NOISE_LIKELY,KS,64,1,23,0,7,32,0,13,62003,15500,,,,
KS_Bratislava_1Cob_187_2015_00_dokument.pdf,data/01_raw_pdfs/1Cob_187_2015/KS_Bratislava_1Cob_187_2015_00_dokument.pdf,KS Bratislava,1Cob/187/2015,2016-10-06,Rozsudok,3_PENALTY_NO_MODERATION,KS,38,0,6,6,9,11,2,5,16737,4184,,,,
KS_Žilina_14Cob_124_2012_00_dokument.pdf,data/01_raw_pdfs/14Cob_124_2012/KS_Žilina_14Cob_124_2012_00_dokument.pdf,KS Žilina,14Cob/124/2012,2012-11-05,Uznesenie,1_GOLD_MODERATION,KS,46,1,8,2,7,12,14,6,25200,6300,,,,
KS_Banská_Bystrica_43Cob_513_2014_00_dokument.pdf,data/01_raw_pdfs/43Cob_513_2014/KS_Banská_Bystrica_43Cob_513_2014_00_dokument.pdf,KS Banská Bystrica,43Cob/513/2014,2015-01-29,Rozsudok,1_GOLD_MODERATION,KS,25,2,14,3,11,4,47,6,22007,5501,,,,
KS_Prešov_4Cob_62_2020_00_dokument.pdf,data/01_raw_pdfs/4Cob_62_2020/KS_Prešov_4Cob_62_2020_00_dokument.pdf,KS Prešov,4Cob/62/2020,2021-02-11,Rozsudok,4_CIVIL_NOISE_LIKELY,KS,33,7,25,0,9,4,11,6,25563,6390,,,,
KS_Trnava_21Cob_11_2020_00_dokument.pdf,data/01_raw_pdfs/21Cob_11_2020/KS_Trnava_21Cob_11_2020_00_dokument.pdf,KS Trnava,PN-6Cb/8/2008,2020-06-30,Rozsudok,3_PENALTY_NO_MODERATION,KS,47,0,18,21,15,19,17,10,44315,11078,,,,
KS_Prešov_3Cob_57_2016_00_dokument.pdf,data/01_raw_pdfs/3Cob_57_2016/KS_Prešov_3Cob_57_2016_00_dokument.pdf,KS Prešov,3Cob/57/2016,2018-04-26,Rozsudok,4_CIVIL_NOISE_LIKELY,KS,28,4,18,3,9,8,23,4,13720,3430,,,,
KS_Nitra_26Cob_39_2012_00_dokument.pdf,data/01_raw_pdfs/26Cob_39_2012/KS_Nitra_26Cob_39_2012_00_dokument.pdf,KS Nitra,26Cob/39/2012,2012-06-14,Rozsudok,4_CIVIL_NOISE_LIKELY,KS,49,5,40,0,9,59,27,7,23986,5996,,,,
KS_Žilina_13Cob_128_2017_00_dokument.pdf,data/01_raw_pdfs/13Cob_128_2017/KS_Žilina_13Cob_128_2017_00_dokument.pdf,KS Žilina,13Cob/128/2017,2018-01-24,Rozsudok,1_GOLD_MODERATION,KS,81,2,17,3,6,29,28,14,66030,16507,,,,
KS_Bratislava_3Cob_387_2013_00_dokument.pdf,data/01_raw_pdfs/3Cob_387_2013/KS_Bratislava_3Cob_387_2013_00_dokument.pdf,KS Bratislava,3Cob/387/2013,2014-10-22,Rozsudok,3_PENALTY_NO_MODERATION,KS,20,0,8,3,3,10,10,3,10846,2711,,,,
KS_Košice_2Cob_216_2013_00_dokument.pdf,data/01_raw_pdfs/2Cob_216_2013/KS_Košice_2Cob_216_2013_00_dokument.pdf,KS Košice,2Cob/216/2013,2014-06-20,Rozsudok,4_CIVIL_NOISE_LIKELY,KS,34,1,5,1,8,29,16,5,18508,4627,,,,
KS_Trenčín_16Cob_78_2013_00_dokument.pdf,data/01_raw_pdfs/16Cob_78_2013/KS_Trenčín_16Cob_78_2013_00_dokument.pdf,KS Trenčín,16Cob/78/2013,2014-02-26,Rozsudok,1_GOLD_MODERATION,KS,42,1,21,18,12,14,10,7,27136,6784,,,,
KS_Bratislava_5Cob_51_2023_00_dokument.pdf,data/01_raw_pdfs/5Cob_51_2023/KS_Bratislava_5Cob_51_2023_00_dokument.pdf,KS Bratislava,5Cob/51/2023,2024-07-30,Uznesenie,3_PENALTY_NO_MODERATION,KS,32,0,2,5,2,30,4,9,42693,10673,,,,
