court_name,case_id,topic
KS Banská Bystrica,14Co/371/2012,Zmluvy
KS Banská Bystrica,14CoCsp/30/2021,Zmluvy
KS Banská Bystrica,16Co/368/2014,Zmluvy
KS Banská Bystrica,35Cbi/59/2006,Zmluva o dielo
KS Banská Bystrica,41Cob/13/2020,Bezdôvodné obohatenie
KS Banská Bystrica,41Cob/154/2013,Iné
KS Banská Bystrica,41Cob/155/2018,
KS Banská Bystrica,41Cob/256/2016,Obchodné záväzkové vzťahy
KS Banská Bystrica,41Cob/3/2025,Ostatné
KS Banská Bystrica,41Cob/31/2022,Bezdôvodné obohatenie
KS Banská Bystrica,41Cob/42/2010,
KS Banská Bystrica,41Cob/42/2010,Obchodné záväzkové vzťahy
KS Banská Bystrica,41Cob/73/2023,Bezdôvodné obohatenie
KS Banská Bystrica,42Cob/18/2023,Obchodné záväzkové vzťahy
KS Banská Bystrica,42Cob/51/2024,Ostatné
KS Banská Bystrica,42Cob/94/2024,Obchodné záväzkové vzťahy
KS Banská Bystrica,43Cob/130/2013,Zmluva o dielo
KS Banská Bystrica,43Cob/20/2016,Ostatné
KS Banská Bystrica,43Cob/30/2023,Ostatné
KS Banská Bystrica,43Cob/513/2014,Obchodné záväzkové vzťahy
KS Banská Bystrica,43Cob/53/2023,Náhrada škody
KS Banská Bystrica,43Cob/75/2024,Obchodné záväzkové vzťahy
KS Banská Bystrica,43CoE/215/2015,Exekúcia a výkon rozhodnutí
KS Banská Bystrica,43CoPv/10/2023,Ostatné
KS Bratislava,13Cbi/38/2004,
KS Bratislava,1Cob/117/2020,Obchodné záväzkové vzťahy
KS Bratislava,1Cob/130/2019,Obchodné záväzkové vzťahy
KS Bratislava,1Cob/187/2015,Ostatné
KS Bratislava,1Cob/287/2014,Ostatné
KS Bratislava,1Cob/298/2015,Obchodné záväzkové vzťahy
KS Bratislava,1Cob/40/2018,Obchodné záväzkové vzťahy
KS Bratislava,1Cob/47/2022,Obchodné záväzkové vzťahy
KS Bratislava,1Cob/93/2016,Zmluva o dielo
KS Bratislava,1CoZm/36/2016,Zmenky
KS Bratislava,1CoZm/72/2015,Zmenky
KS Bratislava,2Co/380/2011,Zmluva o dielo
KS Bratislava,2Cob/140/2023,Ostatné
KS Bratislava,2Cob/186/2017,Zmluva o dielo
KS Bratislava,2Cob/294/2011,Kúpna zmluva
KS Bratislava,2Cob/33/2021,Zmluva o dielo
KS Bratislava,2Cob/344/2016,Zmluva o dielo
KS Bratislava,2Cob/38/2016,Zmluva o dielo
KS Bratislava,2Cob/60/2023,Ostatné
KS Bratislava,2Cob/69/2020,Ostatné
KS Bratislava,2Cob/82/2015,Ostatné
KS Bratislava,2CoKR/71/2013,Incidenčné spory
KS Bratislava,2CoR/11/2019,Ostatné
KS Bratislava,3Cob/122/2018,Obchodné záväzkové vzťahy
KS Bratislava,3Cob/183/2016,Obchodné záväzkové vzťahy
KS Bratislava,3Cob/26/2021,Zmluva o dielo
KS Bratislava,3Cob/387/2013,Ostatné
KS Bratislava,3Cob/464/2012,Zmluva o dielo
KS Bratislava,3Cob/94/2018,Ostatné
KS Bratislava,4Cob/16/2018,Ostatné
KS Bratislava,4Cob/204/2018,Ostatné
KS Bratislava,4Cob/216/2015,Zmluva o dielo
KS Bratislava,4Cob/57/2015,Obchodné záväzkové vzťahy
KS Bratislava,4CoZm/2/2018,Zmenky
KS Bratislava,4CoZm/3/2020,Zmenky
KS Bratislava,5Co/246/2014,Zodpovednosť za škodu
KS Bratislava,5Co/68/2015,Ostatné
KS Bratislava,5Cob/216/2024,Ostatné
KS Bratislava,5Cob/51/2023,Ostatné
KS Bratislava,8Co/332/2012,Zmluva o dielo
KS Košice,2Cob/153/2014,Obchodné záväzkové vzťahy
KS Košice,2Cob/174/2011,Zmluva o dielo
KS Košice,2Cob/216/2013,Obchodné záväzkové vzťahy
KS Košice,2Cob/35/2015,Obchodné záväzkové vzťahy
KS Košice,3Cob/116/2021,Obchodné záväzkové vzťahy
KS Košice,3Cob/219/2023,Bezdôvodné obohatenie
KS Košice,3Cob/224/2014,Zmluva o dielo
KS Košice,3Cob/239/2012,Obchodné záväzkové vzťahy
KS Košice,3Cob/41/2013,Obchodné záväzkové vzťahy
KS Košice,4Cob/116/2023,Obchodné záväzkové vzťahy
KS Košice,4Cob/12/2024,Obchodné záväzkové vzťahy
KS Košice,4Cob/122/2011,Obchodné spoločnosti
KS Košice,4Cob/144/2015,Obchodné spoločnosti
KS Košice,4Cob/148/2022,Obchodné záväzkové vzťahy
KS Košice,4Cob/149/2022,Obchodné záväzkové vzťahy
KS Košice,4Cob/181/2023,Zmluva o dielo
KS Košice,4Cob/196/2023,Bezdôvodné obohatenie
KS Košice,4Cob/35/2023,Obchodné záväzkové vzťahy
KS Košice,4Cob/55/2024,Zmluva o dielo
KS Košice,4Cob/77/2017,Predbežné opatrenia
KS Košice,4Cob/95/2012,Ostatné
KS Nitra,12Co/49/2017,Spotrebiteľské zmluvy
KS Nitra,12CoCsp/44/2022,Ostatné
KS Nitra,15Cob/16/2012,Ostatné
KS Nitra,15Cob/25/2021,Ostatné
KS Nitra,15Cob/31/2019,Zmluva o dielo
KS Nitra,15Cob/7/2013,Ostatné
KS Nitra,15Cob/70/2022,Ostatné
KS Nitra,25Co/896/2015,Ostatné
KS Nitra,26Cob/135/2012,Obchodné záväzkové vzťahy
KS Nitra,26Cob/22/2018,Ostatné
KS Nitra,26Cob/28/2017,Obchodné záväzkové vzťahy
KS Nitra,26Cob/39/2012,Obchodné záväzkové vzťahy
KS Nitra,26Cob/52/2016,Zmluva o dielo
