id|spisova_znacka|datum_vydania|sudca|kolegium|merito|najdeny_kontext_301|cesta_k_pdf|url_na_web
238345|5Obdo/14/2023|2024-04-25|JUDr. Andrea Moravčíková|2|500 000 eur s prísl.| ohľadom pravosti tejto listiny.  7. Súd prvej inštancie sa stotožnil so záverom znaleckého posudku Ing. M., ohľadne uplatneného opčného kontraktu, že tento nebol uplatnený platne. S poukazom na ust. § 301 zák. č. 513/1991 Zb. Obchodný zákonník v platnom znení (ďalej aj „ObZ“) a na vykonané dokazovanie dospel k záveru, že zmluvnými stranami dohodnutá zmluvná pokuta nie je neprimerane vysoká, vzhľadom n|rozhodnutia_301_pdf/238345_5Obdo_14_2023.pdf|https://www.nsud.sk3fd/752730.d5c13d.pdf
236208|2Obdo/25/2023|2023-12-14|JUDr. Beáta Miničová|2|569,89 eur s prísl.|il súdu prvej inštancie na ďalšie konanie. V zrušujúcom uznesení odvolací súd uložil súdu prvej inštancie povinnosť, aby posúdil zmluvnú pokutu uplatnenú žalobkyňou vo výške 461,66 eura aj podľa ust. § 301 zákona č. 513/1991 Zb. Obchodného zákonníka v znení neskorších predpisov (ďalej len „ObZ“). V ďalšom konaní mal podľa odvolacieho súdu okresný súd vec opätovne prejednať a vo veci rozhodnúť rozsudkom|rozhodnutia_301_pdf/236208_2Obdo_25_2023.pdf|https://www.nsud.skea9/733860.d26eb1.pdf
233956|2Obdo/31/2022|2023-05-30|JUDr. Beáta Miničová|2|zrušenie zápisu údajov do obchodného registra|dostatok procesnej podmienky, ktorý nemožno odstrániť, súd konanie zastaví (§ 161 ods. 2 CSP). 16. Podľa ust. § 7 ods. 1 CMP, účastníkom je ten, koho tento zákon za účastníka označuje. 17. Podľa ust. § 301 ods. 1 CMP, účastníkom konania o zrušenie zápisu údajov do obchodného registra je navrhovateľ, zapísaná osoba a osoba, ktorej údajov sa návrh týka. 18. Podľa ust. § 61 CSP, má procesnú subjektivitu t|rozhodnutia_301_pdf/233956_2Obdo_31_2022.pdf|https://www.nsud.sk620/702544.27078c.pdf
219818|5MObdo/1/2015|2015-10-28|JUDr. Darina Ličková|2|102 901,15 eur s prísl.|ds. 1, 2, § 548 ods. 1 Obchodného zákonníka, ust. § 41, § 37 ods. 1, § 39, § 35 ods. 3 Občianskeho zákonníka, ďalej ust. § 1  ods. 2 Obchodného zákonníka, ust. § 544 ods. 1, 2 Občianskeho zákonníka a § 301 Obchodného zákonníka. Poukázal na znenie článku V. bod 3, 4 predmetnej zmluvy, ďalej  na ust. § 302, § 344, § 351 ods. 1, 2, § 365, § 369 ods. 1, 2 Obchodného zákonníka  a vzhľadom na zistené skutočn|rozhodnutia_301_pdf/219818_5MObdo_1_2015.pdf|https://www.nsud.skd3b/610902.0b4273.pdf
217585|4Obdo/61/2020|2021-11-30|JUDr. Lenka Praženková|2|7 262,78 eur s prísl.|ý Občiansky zákonník“). 7.  Vzhľadom na vyššie uvedené skutočnosti a citované zákonné ustanovenia (§ 1 ods. 1, § 205 ods.1, § 219 ods. 1, 2, § 220 ods. 2, § 365 ods. 1, § 296 ods. 1, 2, § 298 ods. 1, § 301/A ods. 2 a ods. 3 Maďarského Občianskeho zákonníka ako aj § 147 ods. 2 CSP) súd prvej inštancie doplnil dokazovanie v zmysle zrušujúceho rozhodnutia Krajského súdu v Košiciach a mal za preukázané, že|rozhodnutia_301_pdf/217585_4Obdo_61_2020.pdf|https://www.nsud.skd59/642745.305f9d.pdf
216579|4Obdo/29/2021|2022-01-28|JUDr. Alena Priecelová|2|115 903,10 eur s prísl.|892900019, č. 3892900065, č. 3892900153, č. 3892900210 a č. 3892900220. 3. Súd prvej inštancie vec právne posúdil podľa § 536, § 537 ods. 1, 2, § 546 ods. 1, § 548 ods. 1, § 554 ods. 1, § 558, § 364, § 301 Obchodného zákonníka (ďalej len „ObchZ“), upravujúcich povinnosti zhotoviteľa a objednávateľa diela, započítanie pohľadávok a zmluvnú pokutu), súčasne poukazom na článok VI. bod 2 písm. a/ zmluvy o d|rozhodnutia_301_pdf/216579_4Obdo_29_2021.pdf|https://www.nsud.sk14d/642422.696786.pdf
213160|2Obo/10/2012|2012-09-13||2|o zapatenie 234 428,79 Eur s prísl.|vo výške  20,11%.            Zmluvne dohodnutý úrok z  omeškania, ktorý predpokladá ust. § 369 ods.  1 Obch.   zák., nie je zmluvnou pokutou, a  preto nespadá pod moderačné právo súdu upravené ust.   § 301 Obch. zák.            Odvolací súd tiež zhodne so súdom prvého stupňa nezistil v dohodnutom úroku tak,   ako bol tento uplatnený, jeho rozpor so zásadami poctivého obchodného styku.                  |rozhodnutia_301_pdf/213160_2Obo_10_2012.pdf|https://www.nsud.sk51c/434726.b5c154.pdf
192285|2Obdo/46/2010|2011-09-27||2|o zaplatenie 31 099,38 Eur s prísl.|aný dodať žalobcovi a  ktorú v skutočnosti dodal (122  119 ton). Súd prvého stupňa dospel k  záveru, že v  danom prípade sú splnené podmienky pre  využitie tzv. moderačného práva v  zmysle ustanovení § 301 Obchodného zákonníka. Preto  s prihliadnutím na hodno tu a  význam zabezpečovanej povinnosti, keď vychádzal z  rozsahu  splnenej dodávky žalovaného v  prospech žalobcu ( cca 63 %) s  prihliadnutím na|rozhodnutia_301_pdf/192285_2Obdo_46_2010.pdf|https://www.nsud.skdfb/380705.fc6f4f.pdf
175642|4Obdo/108/2019|2021-05-31|JUDr. Gabriela Mederová|2|5 600 eur s prísl.|o strany žalovaného dodané. Nakoľko ale žalobca sám čiastočne zavinil omeškanie a uplatnená zmluvná pokuta bola neprimerane vysoká, súd pristúpil k moderácii tejto uplatnenej zmluvnej pokuty v zmysle § 301 Obchodného zákonníka. Žalobca tvrdil, že mu nefunkčnosťou web stránky vznikla veľká škoda, tým že nemohol klientom cez tento portál ponúkať a predávať dovolenkové pobyty. Žalobca uplatnenú zmluvnú po|rozhodnutia_301_pdf/175642_4Obdo_108_2019.pdf|https://www.nsud.sk57e/502035.2863e0.pdf
172740|2Ndob/18/2020|2021-04-29|JUDr. Beáta Miničová|2|abstraktnej kontrole v spotreb. veciach a NO| a § 15 ods. 1 C. s. p. Vzhľadom na obsah žaloby dospel k záveru, že v predmetnej veci absentuje základná a neopomenuteľná podmienka konania o abstraktnej kontrole v spotrebiteľských veciach v zmysle § 301 C. s. p., ktorou je nevyhnutná existencia spotrebiteľského vzťahu založeného na základe spotrebiteľskej zmluvy, prípadne so spotrebiteľskou zmluvou súvisiacimi iným dokumentami, ktorými žalobca vytýk|rozhodnutia_301_pdf/172740_2Ndob_18_2020.pdf|https://www.nsud.skbd0/695688.006860.pdf
158173|2Obdo/23/2015|2016-06-23|JUDr. Ivana Izakovičová|2|zaplatenie 190 900 eur s prísl.|ú, pretože sa nejedná o omeškanie s peňažným plnením, v zmysle ustanovenia § 369 ods. 1 Obchodného zákonníka. Ďalej súd prvého stupňa uviedol, že nemohol znížiť dohodnutú zmluvnú pokutu v zmysle ust. § 301 Obchodného zákonníka do výšky skutočnej škody, pretože za skutočnú škodu treba považovať dohodnutú výšku nájomného za prenajaté zariadenie, čo bolo 404 450 Eur za 126 dní nájmu, teda 3 209,92 Eur den|rozhodnutia_301_pdf/158173_2Obdo_23_2015.pdf|https://www.nsud.sk748/656640.05e93d.pdf
150053|3Ndob/14/2016|2017-01-23|JUDr. Ľubomíra Kúdelová|2|určenie nekalých obchodných praktík| novembra 2016 postúpil vec najvyššiemu súdu podľa § 43 ods. 2 C. s. p. z dôvodu, že s postúpením nesúhlasil, nakoľko predmetom konania je spor z abstraktnej kontroly v spotrebiteľských veciach podľa § 301 a nasl. C. s. p. a je daná kauzálna príslušnosť Krajského súdu v Košiciach podľa § 31 ods. 1 písm. c/ C. s. p.. 3. Najvyšší súd Slovenskej republiky prejednal nesúhlas s postúpením veci v zmysle ust.|rozhodnutia_301_pdf/150053_3Ndob_14_2016.pdf|https://www.nsud.skcb9/582670.9061fa.pdf
148045|5Obdo/63/2016|2017-04-25|JUDr. Darina Ličková|2|zaplatenie 60 000-UDS a 270 000 eur s príl.|u uhradil, môže si túto škodu vymáhať od spoločnosti WTCC z titulu bezdôvodného obohatenia. Taktiež vzhľadom na všetky okolnosti prípadu odvolací súd nevzhliadol dôvod použiť moderačné právo v zmysle § 301 Obchodného zákonníka. 15. Odvolací súd taktiež dospel k záveru, že nie je opodstatnená ani námietka žalovaného ako odvolateľa týkajúca sa nedostatočného odôvodnenia písomného vyhotovenia rozsudku okr|rozhodnutia_301_pdf/148045_5Obdo_63_2016.pdf|https://www.nsud.skc0a/650216.130f61.pdf
