guid|sud|spisova_znacka|datum|file_name|file_type|odkazovane_predpisy
7bf13b3f-4285-4a96-97f9-a1792290a123:8fdbc6d0-08d9-4163-8525-1e7d54efc55a|Krajský súd Banská Bystrica|43Cob/513/2014|29.01.2015|KS_Bansk_ Bystrica_43Cob_513_2014.pdf|pdf|/SK/ZZ/1964/40;/SK/ZZ/1964/40/#paragraf-544.odsek-1;/SK/ZZ/1964/40/#paragraf-544.odsek-2;/SK/ZZ/1991/513;/SK/ZZ/1991/513/#paragraf-301;/SK/ZZ/1991/513/#paragraf-303;/SK/ZZ/1991/513/#paragraf-306
c93fd077-e99a-4042-9e79-cb599c4b99f0:7415d9f8-4242-4c47-9e7b-cfc2b1e2c909|Krajský súd Bratislava|2Cob/82/2015|08.03.2016|KS_Bratislava_2Cob_82_2015.pdf|pdf|/SK/ZZ/1991/513;/SK/ZZ/1991/513/#paragraf-265;/SK/ZZ/1991/513/#paragraf-409;/SK/ZZ/1991/513/#paragraf-301;/SK/ZZ/1963/99;/SK/ZZ/1963/99/#paragraf-219.odsek-1;/SK/ZZ/1963/99/#paragraf-219.odsek-2
a4c41dbc-4f44-4d5b-8813-969c2b58b5a1:00031908-c998-445b-a1e6-dea13b1db2a1|Krajský súd Banská Bystrica|43Cob/20/2016|10.03.2016|KS_Bansk_ Bystrica_43Cob_20_2016.pdf|pdf|/SK/ZZ/1991/513;/SK/ZZ/1991/513/#paragraf-301
e9ebc9b5-aaab-41ff-ae54-98c2c24bda09:8bd33cfb-c2a4-42f8-b643-e31ad2ce463b|Krajský súd Trenčín|8Cob/258/2014|26.10.2016|KS_Tren_n_8Cob_258_2014.pdf|pdf|/SK/ZZ/2015/160/#paragraf-387.odsek-1;/SK/ZZ/2015/160/#paragraf-387.odsek-2;/SK/ZZ/1991/513/#paragraf-301
51f3187b-1fdf-4317-9813-642bbd18aa81:63cb95ed-6bd7-4e7f-b1e5-a57b9024d8bb|Krajský súd Nitra|26Cob/52/2016|01.12.2016|KS_Nitra_26Cob_52_2016.pdf|pdf|/SK/ZZ/1991/513;/SK/ZZ/1991/513/#paragraf-551.odsek-1;/SK/ZZ/1991/513/#paragraf-301
4acda919-52f1-44b6-94fa-2ae8703ce61f:f917d3b1-9436-47cf-b154-7067d5c78cd2|Krajský súd Bratislava|2Cob/38/2016|23.05.2017|KS_Bratislava_2Cob_38_2016.pdf|pdf|/SK/ZZ/1991/513;/SK/ZZ/1991/513/#paragraf-536;/SK/ZZ/1991/513/#paragraf-300;/SK/ZZ/1991/513/#paragraf-301;/SK/ZZ/1964/40;/SK/ZZ/1964/40/#paragraf-544.odsek-1;/SK/ZZ/1964/40/#paragraf-544.odsek-2;/SK/ZZ/2015/160;/SK/ZZ/2015/160/#paragraf-387.odsek-1;/SK/ZZ/2015/160/#paragraf-387.odsek-2
6e7a43df-87cb-40ff-8008-b3f73fed29ab:6181a761-14a4-40b0-87ae-233662c30447|Krajský súd Trnava|21Cob/43/2019|26.11.2019|KS_Trnava_21Cob_43_2019.pdf|pdf|/SK/ZZ/1991/513/#paragraf-301;/SK/ZZ/1991/513/#paragraf-672a
1ccaa196-5710-40dc-8f51-2f996242cb5e:16e3e02c-c53b-4b59-91d8-f879ffec077e|Krajský súd Trnava|31Cob/104/2020|24.02.2022|KS_Trnava_31Cob_104_2020.pdf|pdf|/SK/ZZ/1991/513/#paragraf-536.odsek-1;/SK/ZZ/1991/513/#paragraf-554.odsek-1;/SK/ZZ/1991/513/#paragraf-554.odsek-6;/SK/ZZ/1991/513/#paragraf-555.odsek-2;/SK/ZZ/1991/513/#paragraf-301;/SK/ZZ/1964/40/#paragraf-544.odsek-1;/SK/ZZ/1964/40/#paragraf-544.odsek-2
3ee5e8c0-c014-46d8-a59f-75dd975efb56:676747c8-aa2a-4092-a786-8ee3ce418e15|Krajský súd Trenčín|8Cob/112/2021|22.06.2022|KS_Tren_n_8Cob_112_2021.pdf|pdf|/SK/ZZ/1991/513;/SK/ZZ/1991/513/#paragraf-261.odsek-1;/SK/ZZ/1991/513/#paragraf-301;/SK/ZZ/1964/40;/SK/ZZ/1964/40/#paragraf-675;/SK/ZZ/1964/40/#paragraf-544.odsek-1;/SK/ZZ/1964/40/#paragraf-544.odsek-2;/SK/ZZ/1990/116;/SK/ZZ/1990/116/#paragraf-3;/SK/ZZ/1990/116/#paragraf-5;/SK/ZZ/1990/116/#paragraf-7;/SK/ZZ/1990/116/#paragraf-8
574faf7d-955e-4856-b368-ded175ddd46b:616e6d2f-c276-4419-b875-78a78bf136e2|Krajský súd Trnava|32Cob/3/2021|28.06.2022|KS_Trnava_32Cob_3_2021.pdf|pdf|/SK/ZZ/1964/40/#paragraf-544.odsek-1;/SK/ZZ/1964/40/#paragraf-544.odsek-2;/SK/ZZ/1991/513/#paragraf-301;/SK/ZZ/1991/513/#paragraf-351.odsek-1
08abd36c-79c6-4770-9681-8655cd4d42d8:d1e39aa1-deb3-4805-aa31-9d0263569edc|Krajský súd Trenčín|8Cob/51/2022|26.07.2022|KS_Tren_n_8Cob_51_2022.pdf|pdf|/SK/ZZ/1991/513/#paragraf-301
